x	 y	 z	 vx	 vy	 vz	 [v]
0.065511	 -0.568974	 -0.300619	 0.020008	 0.002055	 -0.000342	 0.020116
0.085520	 -0.566919	 -0.300961	 0.019937	 0.002677	 -0.000013	 0.020116
0.105456	 -0.564242	 -0.300974	 0.019843	 0.003295	 0.000315	 0.020118
0.125300	 -0.560948	 -0.300659	 0.019729	 0.003908	 0.000642	 0.020122
0.145029	 -0.557039	 -0.300017	 0.019593	 0.004516	 0.000968	 0.020130
0.164622	 -0.552523	 -0.299049	 0.019436	 0.005119	 0.001293	 0.020140
0.184058	 -0.547404	 -0.297756	 0.019258	 0.005716	 0.001616	 0.020153
0.203316	 -0.541688	 -0.296141	 0.019060	 0.006306	 0.001937	 0.020169
0.222376	 -0.535382	 -0.294204	 0.018841	 0.006890	 0.002256	 0.020187
0.241216	 -0.528492	 -0.291948	 0.018601	 0.007467	 0.002573	 0.020208
0.259817	 -0.521025	 -0.289375	 0.018341	 0.008036	 0.002887	 0.020232
0.278159	 -0.512989	 -0.286488	 0.018062	 0.008597	 0.003199	 0.020257
0.296220	 -0.504393	 -0.283289	 0.017762	 0.009149	 0.003507	 0.020285
0.313982	 -0.495243	 -0.279781	 0.017443	 0.009693	 0.003813	 0.020316
0.331425	 -0.485550	 -0.275969	 0.017104	 0.010227	 0.004115	 0.020349
0.348529	 -0.475323	 -0.271854	 0.016746	 0.010752	 0.004413	 0.020384
0.365275	 -0.464571	 -0.267441	 0.016369	 0.011266	 0.004707	 0.020421
0.381644	 -0.453305	 -0.262734	 0.015973	 0.011770	 0.004997	 0.020460
0.397616	 -0.441535	 -0.257737	 0.015558	 0.012262	 0.005282	 0.020502
0.413175	 -0.429273	 -0.252455	 0.015125	 0.012743	 0.005563	 0.020545
0.428300	 -0.416529	 -0.246892	 0.014674	 0.013212	 0.005839	 0.020591
0.442973	 -0.403317	 -0.241053	 0.014205	 0.013668	 0.006109	 0.020638
0.457178	 -0.389648	 -0.234943	 0.013718	 0.014112	 0.006374	 0.020687
0.470896	 -0.375537	 -0.228569	 0.013214	 0.014541	 0.006633	 0.020738
0.484109	 -0.360995	 -0.221936	 0.012692	 0.014957	 0.006886	 0.020790
0.496802	 -0.346038	 -0.215050	 0.012154	 0.015358	 0.007133	 0.020844
0.508956	 -0.330680	 -0.207917	 0.011600	 0.015744	 0.007373	 0.020900
0.520556	 -0.314936	 -0.200544	 0.011030	 0.016115	 0.007606	 0.020957
0.531586	 -0.298821	 -0.192938	 0.010444	 0.016469	 0.007832	 0.021015
0.542030	 -0.282352	 -0.185107	 0.009843	 0.016807	 0.008050	 0.021075
0.551873	 -0.265545	 -0.177057	 0.009227	 0.017128	 0.008260	 0.021136
0.561100	 -0.248416	 -0.168797	 0.008596	 0.017431	 0.008462	 0.021198
0.569696	 -0.230985	 -0.160335	 0.007952	 0.017717	 0.008656	 0.021261
0.577648	 -0.213268	 -0.151678	 0.007295	 0.017983	 0.008841	 0.021325
0.584943	 -0.195285	 -0.142837	 0.006625	 0.018231	 0.009017	 0.021390
0.591568	 -0.177055	 -0.133820	 0.005942	 0.018458	 0.009184	 0.021456
0.597510	 -0.158596	 -0.124636	 0.005248	 0.018666	 0.009341	 0.021522
0.602758	 -0.139930	 -0.115296	 0.004543	 0.018853	 0.009488	 0.021589
0.607301	 -0.121077	 -0.105808	 0.003828	 0.019019	 0.009625	 0.021657
0.611129	 -0.102058	 -0.096183	 0.003103	 0.019164	 0.009751	 0.021725
0.614233	 -0.082894	 -0.086432	 0.002370	 0.019286	 0.009866	 0.021793
0.616602	 -0.063607	 -0.076566	 0.001628	 0.019386	 0.009971	 0.021861
0.618230	 -0.044221	 -0.066595	 0.000879	 0.019464	 0.010064	 0.021929
0.619109	 -0.024757	 -0.056532	 0.000124	 0.019518	 0.010145	 0.021997
0.619233	 -0.005240	 -0.046387	 -0.000637	 0.019548	 0.010215	 0.022065
0.618596	 0.014308	 -0.036172	 -0.001402	 0.019555	 0.010272	 0.022133
0.617194	 0.033863	 -0.025900	 -0.002171	 0.019537	 0.010317	 0.022200
0.615023	 0.053400	 -0.015583	 -0.002942	 0.019494	 0.010349	 0.022266
