x	 y	 z	 vx	 vy	 vz	 [v]
0.122156	 -1.313171	 -0.605617	 0.014509	 0.002266	 0.000648	 0.014699
0.136664	 -1.310904	 -0.604969	 0.014497	 0.002394	 0.000706	 0.014710
0.151161	 -1.308511	 -0.604263	 0.014483	 0.002521	 0.000765	 0.014721
0.165645	 -1.305990	 -0.603498	 0.014469	 0.002648	 0.000824	 0.014732
0.180113	 -1.303342	 -0.602675	 0.014453	 0.002775	 0.000882	 0.014743
0.194566	 -1.300567	 -0.601792	 0.014435	 0.002902	 0.000941	 0.014754
0.209001	 -1.297664	 -0.600851	 0.014416	 0.003030	 0.001000	 0.014765
0.223417	 -1.294634	 -0.599851	 0.014396	 0.003157	 0.001059	 0.014776
0.237813	 -1.291478	 -0.598792	 0.014374	 0.003284	 0.001118	 0.014786
0.252186	 -1.288193	 -0.597674	 0.014350	 0.003411	 0.001177	 0.014797
0.266536	 -1.284782	 -0.596497	 0.014325	 0.003538	 0.001236	 0.014807
0.280862	 -1.281244	 -0.595261	 0.014299	 0.003665	 0.001295	 0.014818
0.295161	 -1.277579	 -0.593966	 0.014271	 0.003792	 0.001354	 0.014828
0.309432	 -1.273787	 -0.592613	 0.014242	 0.003919	 0.001413	 0.014839
0.323674	 -1.269868	 -0.591200	 0.014211	 0.004045	 0.001472	 0.014849
0.337885	 -1.265822	 -0.589729	 0.014179	 0.004172	 0.001530	 0.014859
0.352064	 -1.261650	 -0.588198	 0.014145	 0.004298	 0.001589	 0.014869
0.366209	 -1.257352	 -0.586609	 0.014110	 0.004424	 0.001648	 0.014879
0.380319	 -1.252928	 -0.584961	 0.014073	 0.004550	 0.001707	 0.014889
0.394392	 -1.248377	 -0.583254	 0.014035	 0.004676	 0.001765	 0.014899
0.408427	 -1.243701	 -0.581489	 0.013995	 0.004801	 0.001824	 0.014908
0.422423	 -1.238900	 -0.579664	 0.013954	 0.004927	 0.001883	 0.014918
0.436377	 -1.233973	 -0.577782	 0.013912	 0.005052	 0.001941	 0.014927
0.450289	 -1.228922	 -0.575841	 0.013868	 0.005176	 0.002000	 0.014937
0.464156	 -1.223745	 -0.573841	 0.013822	 0.005301	 0.002058	 0.014946
0.477978	 -1.218444	 -0.571783	 0.013775	 0.005425	 0.002116	 0.014955
0.491753	 -1.213020	 -0.569667	 0.013726	 0.005549	 0.002174	 0.014964
0.505480	 -1.207471	 -0.567493	 0.013676	 0.005672	 0.002232	 0.014973
0.519156	 -1.201799	 -0.565261	 0.013625	 0.005795	 0.002290	 0.014982
0.532781	 -1.196004	 -0.562971	 0.013572	 0.005918	 0.002348	 0.014991
0.546353	 -1.190086	 -0.560624	 0.013517	 0.006040	 0.002405	 0.015000
0.559871	 -1.184047	 -0.558219	 0.013462	 0.006162	 0.002462	 0.015008
0.573332	 -1.177885	 -0.555756	 0.013404	 0.006283	 0.002520	 0.015017
0.586737	 -1.171602	 -0.553236	 0.013345	 0.006404	 0.002577	 0.015025
0.600082	 -1.165197	 -0.550660	 0.013285	 0.006525	 0.002634	 0.015033
0.613367	 -1.158673	 -0.548026	 0.013223	 0.006645	 0.002690	 0.015041
0.626590	 -1.152028	 -0.545336	 0.013160	 0.006764	 0.002747	 0.015049
0.639750	 -1.145264	 -0.542589	 0.013095	 0.006883	 0.002803	 0.015057
0.652845	 -1.138381	 -0.539785	 0.013029	 0.007002	 0.002859	 0.015065
0.665874	 -1.131379	 -0.536926	 0.012961	 0.007120	 0.002915	 0.015073
0.678835	 -1.124260	 -0.534011	 0.012892	 0.007237	 0.002971	 0.015080
0.691728	 -1.117023	 -0.531040	 0.012822	 0.007354	 0.003026	 0.015088
0.704549	 -1.109669	 -0.528013	 0.012750	 0.007470	 0.003082	 0.015095
0.717299	 -1.102200	 -0.524932	 0.012677	 0.007585	 0.003137	 0.015102
0.729976	 -1.094614	 -0.521795	 0.012602	 0.007700	 0.003191	 0.015109
0.742577	 -1.086914	 -0.518604	 0.012526	 0.007814	 0.003246	 0.015116
0.755103	 -1.079100	 -0.515358	 0.012448	 0.007928	 0.003300	 0.015123
