x	 y	 z	 vx	 vy	 vz	 [v]
-0.958603	 -0.318269	 -0.133853	 0.005328	 -0.015038	 -0.006492	 0.017224
-0.953274	 -0.333307	 -0.140344	 0.005596	 -0.014949	 -0.006454	 0.017218
-0.947678	 -0.348256	 -0.146799	 0.005863	 -0.014856	 -0.006415	 0.017211
-0.941815	 -0.363112	 -0.153213	 0.006127	 -0.014759	 -0.006374	 0.017204
-0.935689	 -0.377871	 -0.159588	 0.006389	 -0.014658	 -0.006331	 0.017198
-0.929300	 -0.392529	 -0.165919	 0.006648	 -0.014553	 -0.006287	 0.017191
-0.922652	 -0.407082	 -0.172206	 0.006906	 -0.014444	 -0.006241	 0.017184
-0.915746	 -0.421527	 -0.178447	 0.007161	 -0.014332	 -0.006194	 0.017177
-0.908586	 -0.435859	 -0.184641	 0.007413	 -0.014216	 -0.006144	 0.017169
-0.901173	 -0.450074	 -0.190785	 0.007663	 -0.014096	 -0.006094	 0.017162
-0.893510	 -0.464170	 -0.196879	 0.007911	 -0.013972	 -0.006041	 0.017155
-0.885599	 -0.478142	 -0.202920	 0.008155	 -0.013845	 -0.005987	 0.017148
-0.877443	 -0.491987	 -0.208907	 0.008398	 -0.013714	 -0.005932	 0.017140
-0.869046	 -0.505701	 -0.214839	 0.008637	 -0.013580	 -0.005875	 0.017133
-0.860409	 -0.519281	 -0.220714	 0.008874	 -0.013442	 -0.005816	 0.017125
-0.851535	 -0.532723	 -0.226530	 0.009107	 -0.013301	 -0.005756	 0.017117
-0.842428	 -0.546024	 -0.232286	 0.009338	 -0.013157	 -0.005695	 0.017109
-0.833090	 -0.559181	 -0.237981	 0.009566	 -0.013009	 -0.005632	 0.017102
-0.823523	 -0.572190	 -0.243613	 0.009791	 -0.012858	 -0.005568	 0.017094
-0.813733	 -0.585048	 -0.249181	 0.010013	 -0.012704	 -0.005502	 0.017086
-0.803720	 -0.597752	 -0.254683	 0.010231	 -0.012547	 -0.005435	 0.017078
-0.793489	 -0.610299	 -0.260119	 0.010447	 -0.012387	 -0.005367	 0.017070
-0.783042	 -0.622686	 -0.265486	 0.010659	 -0.012223	 -0.005297	 0.017061
-0.772383	 -0.634909	 -0.270783	 0.010868	 -0.012057	 -0.005227	 0.017053
-0.761515	 -0.646967	 -0.276010	 0.011074	 -0.011888	 -0.005155	 0.017045
-0.750442	 -0.658855	 -0.281164	 0.011276	 -0.011716	 -0.005081	 0.017036
-0.739166	 -0.670571	 -0.286246	 0.011475	 -0.011542	 -0.005007	 0.017028
-0.727691	 -0.682113	 -0.291252	 0.011670	 -0.011364	 -0.004931	 0.017019
-0.716021	 -0.693478	 -0.296183	 0.011862	 -0.011185	 -0.004854	 0.017011
-0.704159	 -0.704662	 -0.301037	 0.012051	 -0.011002	 -0.004776	 0.017002
-0.692109	 -0.715664	 -0.305814	 0.012235	 -0.010817	 -0.004697	 0.016993
-0.679873	 -0.726481	 -0.310511	 0.012417	 -0.010630	 -0.004617	 0.016985
-0.667456	 -0.737111	 -0.315128	 0.012594	 -0.010440	 -0.004536	 0.016976
-0.654862	 -0.747550	 -0.319664	 0.012768	 -0.010248	 -0.004454	 0.016967
-0.642094	 -0.757798	 -0.324118	 0.012939	 -0.010053	 -0.004371	 0.016958
-0.629155	 -0.767851	 -0.328488	 0.013105	 -0.009857	 -0.004287	 0.016949
-0.616050	 -0.777708	 -0.332775	 0.013268	 -0.009658	 -0.004202	 0.016940
-0.602782	 -0.787365	 -0.336976	 0.013427	 -0.009457	 -0.004116	 0.016931
-0.589355	 -0.796822	 -0.341092	 0.013582	 -0.009254	 -0.004029	 0.016922
-0.575772	 -0.806076	 -0.345121	 0.013734	 -0.009049	 -0.003941	 0.016913
-0.562038	 -0.815126	 -0.349062	 0.013882	 -0.008843	 -0.003853	 0.016904
-0.548157	 -0.823968	 -0.352915	 0.014025	 -0.008634	 -0.003763	 0.016894
-0.534131	 -0.832603	 -0.356678	 0.014165	 -0.008424	 -0.003673	 0.016885
-0.519966	 -0.841027	 -0.360351	 0.014301	 -0.008212	 -0.003583	 0.016876
-0.505665	 -0.849239	 -0.363934	 0.014433	 -0.007999	 -0.003491	 0.016867
-0.491232	 -0.857237	 -0.367425	 0.014561	 -0.007783	 -0.003399	 0.016857
-0.476671	 -0.865021	 -0.370824	 0.014685	 -0.007567	 -0.003306	 0.016848
-0.461986	 -0.872588	 -0.374130	 0.014805	 -0.007349	 -0.003213	 0.016838
-0.447180	 -0.879937	 -0.377343	 0.014922	 -0.007130	 -0.003119	 0.016829
-0.432259	 -0.887066	 -0.380461	 0.015034	 -0.006909	 -0.003024	 0.016819
-0.417225	 -0.893975	 -0.383485	 0.015142	 -0.006687	 -0.002929	 0.016810
-0.402083	 -0.900662	 -0.386414	 0.015246	 -0.006464	 -0.002833	 0.016800
-0.386837	 -0.907126	 -0.389247	 0.015346	 -0.006240	 -0.002737	 0.016791
-0.371491	 -0.913365	 -0.391984	 0.015442	 -0.006014	 -0.002640	 0.016781
-0.356049	 -0.919380	 -0.394624	 0.015534	 -0.005788	 -0.002543	 0.016771
-0.340515	 -0.925168	 -0.397167	 0.015622	 -0.005561	 -0.002446	 0.016762
-0.324893	 -0.930729	 -0.399613	 0.015706	 -0.005333	 -0.002348	 0.016752
-0.309187	 -0.936062	 -0.401960	 0.015786	 -0.005104	 -0.002249	 0.016742
-0.293401	 -0.941166	 -0.404210	 0.015862	 -0.004875	 -0.002151	 0.016733
-0.277539	 -0.946041	 -0.406361	 0.015934	 -0.004644	 -0.002052	 0.016723
-0.261606	 -0.950685	 -0.408413	 0.016001	 -0.004413	 -0.001953	 0.016713
-0.245604	 -0.955098	 -0.410366	 0.016065	 -0.004182	 -0.001853	 0.016703
-0.229540	 -0.959280	 -0.412219	 0.016125	 -0.003950	 -0.001754	 0.016694
-0.213415	 -0.963230	 -0.413973	 0.016180	 -0.003718	 -0.001654	 0.016684
-0.197235	 -0.966948	 -0.415627	 0.016232	 -0.003485	 -0.001554	 0.016674
-0.181003	 -0.970433	 -0.417181	 0.016279	 -0.003252	 -0.001454	 0.016664
-0.164724	 -0.973685	 -0.418634	 0.016323	 -0.003019	 -0.001353	 0.016655
-0.148401	 -0.976704	 -0.419988	 0.016362	 -0.002785	 -0.001253	 0.016645
-0.132039	 -0.979489	 -0.421241	 0.016398	 -0.002552	 -0.001153	 0.016635
-0.115641	 -0.982041	 -0.422394	 0.016429	 -0.002318	 -0.001052	 0.016625
-0.099212	 -0.984358	 -0.423446	 0.016457	 -0.002084	 -0.000952	 0.016616
-0.082755	 -0.986443	 -0.424397	 0.016480	 -0.001850	 -0.000851	 0.016606
