x	 y	 z	 vx	 vy	 vz	 [v]
-5.286407	 -1.285749	 -0.422394	 0.001771	 -0.006385	 -0.002780	 0.007186
-5.284635	 -1.292135	 -0.425174	 0.001781	 -0.006383	 -0.002779	 0.007186
-5.282854	 -1.298518	 -0.427953	 0.001791	 -0.006381	 -0.002778	 0.007186
-5.281064	 -1.304898	 -0.430731	 0.001800	 -0.006378	 -0.002778	 0.007186
-5.279263	 -1.311277	 -0.433509	 0.001810	 -0.006376	 -0.002777	 0.007186
-5.277454	 -1.317653	 -0.436285	 0.001819	 -0.006374	 -0.002776	 0.007186
-5.275635	 -1.324026	 -0.439061	 0.001829	 -0.006371	 -0.002775	 0.007186
-5.273806	 -1.330397	 -0.441836	 0.001839	 -0.006369	 -0.002774	 0.007186
-5.271967	 -1.336766	 -0.444611	 0.001848	 -0.006366	 -0.002774	 0.007186
-5.270119	 -1.343132	 -0.447384	 0.001858	 -0.006364	 -0.002773	 0.007186
-5.268261	 -1.349496	 -0.450157	 0.001867	 -0.006361	 -0.002772	 0.007186
-5.266394	 -1.355858	 -0.452929	 0.001877	 -0.006359	 -0.002771	 0.007186
-5.264517	 -1.362217	 -0.455700	 0.001887	 -0.006357	 -0.002770	 0.007186
-5.262630	 -1.368573	 -0.458471	 0.001896	 -0.006354	 -0.002769	 0.007186
-5.260734	 -1.374927	 -0.461240	 0.001906	 -0.006352	 -0.002769	 0.007186
-5.258828	 -1.381279	 -0.464009	 0.001915	 -0.006349	 -0.002768	 0.007186
-5.256913	 -1.387628	 -0.466776	 0.001925	 -0.006347	 -0.002767	 0.007186
-5.254988	 -1.393975	 -0.469543	 0.001934	 -0.006344	 -0.002766	 0.007186
-5.253053	 -1.400319	 -0.472310	 0.001944	 -0.006341	 -0.002765	 0.007186
-5.251109	 -1.406660	 -0.475075	 0.001954	 -0.006339	 -0.002764	 0.007186
-5.249156	 -1.412999	 -0.477839	 0.001963	 -0.006336	 -0.002764	 0.007186
-5.247192	 -1.419335	 -0.480603	 0.001973	 -0.006334	 -0.002763	 0.007186
-5.245220	 -1.425669	 -0.483365	 0.001982	 -0.006331	 -0.002762	 0.007186
-5.243237	 -1.432000	 -0.486127	 0.001992	 -0.006329	 -0.002761	 0.007186
-5.241246	 -1.438329	 -0.488888	 0.002001	 -0.006326	 -0.002760	 0.007186
-5.239244	 -1.444655	 -0.491648	 0.002011	 -0.006323	 -0.002759	 0.007186
-5.237234	 -1.450978	 -0.494407	 0.002020	 -0.006321	 -0.002758	 0.007186
-5.235213	 -1.457299	 -0.497166	 0.002030	 -0.006318	 -0.002757	 0.007186
-5.233183	 -1.463617	 -0.499923	 0.002040	 -0.006315	 -0.002756	 0.007186
-5.231144	 -1.469932	 -0.502679	 0.002049	 -0.006313	 -0.002756	 0.007186
-5.229095	 -1.476245	 -0.505435	 0.002059	 -0.006310	 -0.002755	 0.007186
-5.227036	 -1.482555	 -0.508189	 0.002068	 -0.006307	 -0.002754	 0.007186
-5.224968	 -1.488863	 -0.510943	 0.002078	 -0.006305	 -0.002753	 0.007186
-5.222891	 -1.495167	 -0.513696	 0.002087	 -0.006302	 -0.002752	 0.007186
-5.220804	 -1.501469	 -0.516448	 0.002097	 -0.006299	 -0.002751	 0.007186
-5.218707	 -1.507769	 -0.519199	 0.002106	 -0.006297	 -0.002750	 0.007186
-5.216601	 -1.514065	 -0.521949	 0.002116	 -0.006294	 -0.002749	 0.007186
