x	 y	 z	 vx	 vy	 vz	 [v]
-0.647007	 0.148889	 0.146626	 -0.013538	 -0.015073	 -0.006648	 0.021324
-0.660545	 0.133816	 0.139978	 -0.012929	 -0.015214	 -0.006786	 0.021087
-0.673474	 0.118602	 0.133192	 -0.012330	 -0.015335	 -0.006913	 0.020856
-0.685804	 0.103267	 0.126279	 -0.011741	 -0.015439	 -0.007029	 0.020630
-0.697545	 0.087828	 0.119250	 -0.011161	 -0.015526	 -0.007136	 0.020410
-0.708706	 0.072302	 0.112114	 -0.010592	 -0.015598	 -0.007233	 0.020194
-0.719298	 0.056705	 0.104880	 -0.010033	 -0.015655	 -0.007322	 0.019984
-0.729331	 0.041050	 0.097558	 -0.009484	 -0.015698	 -0.007402	 0.019778
-0.738814	 0.025352	 0.090157	 -0.008944	 -0.015728	 -0.007474	 0.019577
-0.747759	 0.009623	 0.082682	 -0.008415	 -0.015747	 -0.007539	 0.019380
-0.756174	 -0.006123	 0.075144	 -0.007896	 -0.015753	 -0.007596	 0.019189
-0.764070	 -0.021877	 0.067548	 -0.007386	 -0.015749	 -0.007647	 0.019002
-0.771455	 -0.037626	 0.059901	 -0.006885	 -0.015735	 -0.007691	 0.018819
-0.778341	 -0.053361	 0.052210	 -0.006394	 -0.015711	 -0.007729	 0.018640
-0.784735	 -0.069072	 0.044480	 -0.005912	 -0.015678	 -0.007762	 0.018466
