x	 f(x)	 I(x)
15181127469005537280.000000	 0.000000 	 19.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
15181127469005537280.000000	 0.000000 	 0.000000 
